id;date;description;balance;merchant_name
1;2023-08-28;Virtual Awesome optical;5368;Isle Senior yellow
2;2023-08-28;B2B;24826;Computer Quality
3;2023-08-27;Colorado primary Branding;5040;digital Home
4;2023-08-27;FTP Venezuela;18670;Republic executive
5;2023-08-28;Configuration;95700;User-centric
6;2023-08-28;Bike Island;69921;projection
7;2023-08-28;withdrawal Security;83730;Assimilated neural
8;2023-08-28;Assimilated;76492;Concrete Director
9;2023-08-27;silver programming Unions;89282;synthesize Florida Fresh
10;2023-08-28;SMS Salad Optimization;81601;Technician Keyboard Throughway
